scenario,source,p,method_family,rank,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU full-history replay fixed-rank,20,10000,602.0,20,300,0.8970073566173845
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU first-epoch replay fixed-rank,20,10000,647.0,20,300,0.8970073566173845
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,Masked PSLB fixed-rank,20,10000,563.0,20,300,0.8970073566173845
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU full-history replay fixed-rank,40,10000,420.0,20,300,0.8970073566173845
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU first-epoch replay fixed-rank,40,10000,552.0,20,300,0.8970073566173845
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,Masked PSLB fixed-rank,40,10000,566.0,20,300,0.8970073566173845
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU full-history replay fixed-rank,10,10001,667.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU first-epoch replay fixed-rank,10,10001,679.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,Masked PSLB fixed-rank,10,10001,546.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU full-history replay fixed-rank,20,10001,623.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU first-epoch replay fixed-rank,20,10001,641.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,Masked PSLB fixed-rank,20,10001,551.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU full-history replay fixed-rank,40,10001,473.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,TOFU first-epoch replay fixed-rank,40,10001,600.0,20,300,0.9346475251767731
mnist_cnn_lowrank_m20_d300,mnist_openml,0.03,Masked PSLB fixed-rank,40,10001,558.0,20,300,0.9346475251767731
