scenario,source,p,method_family,candidate_label,rank,rank_threshold_constant,lambda_reg,beta_scale,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy,selected
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB fixed-rank,rank=20,20,,,,10001,305.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay fixed-rank,rank=40,40,,,,10001,338.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU first-epoch replay fixed-rank,rank=40,40,,,,10001,465.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB fixed-rank,rank=40,40,,,,10001,310.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.03,40,0.03,,,10001,479.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.03,40,0.03,,,10001,231.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.05,40,0.05,,,10001,233.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.05,40,0.05,,,10001,231.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.07,40,0.07,,,10001,172.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.07,40,0.07,,,10001,231.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.1,40,0.1,,,10001,141.0,20,300,0.9346475251767731,1
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.1,40,0.1,,,10001,231.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.15,40,0.15,,,10001,141.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.15,40,0.15,,,10001,231.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,TOFU full-history replay adaptive-rank,threshold=0.25,40,0.25,,,10001,141.0,20,300,0.9346475251767731,0
mnist_cnn_lowrank_m20_d300,mnist_openml,0.075,Masked PSLB adaptive-rank,threshold=0.25,40,0.25,,,10001,231.0,20,300,0.9346475251767731,0
