scenario,source,p,method_family,rank,validation_seed,final_regret,latent_dim,ambient_dim,heldout_accuracy
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,4,10001,1965.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,8,10001,1239.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,8,10001,1345.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,8,10001,1909.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU full-history replay fixed-rank,16,10001,1241.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,TOFU first-epoch replay fixed-rank,16,10001,1363.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.3,Masked PSLB fixed-rank,16,10001,1876.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,1,10000,3812.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,1,10000,3818.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,1,10000,3879.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,2,10000,3275.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,2,10000,3314.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,2,10000,3426.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,4,10000,1494.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,4,10000,1639.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,4,10000,2929.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,8,10000,1510.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,8,10000,1653.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,8,10000,2688.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,16,10000,1723.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,16,10000,1848.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,16,10000,2653.0,4,100,0.7715163202628383
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,1,10001,3994.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,1,10001,4006.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,Masked PSLB fixed-rank,1,10001,4035.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU full-history replay fixed-rank,2,10001,3349.0,4,100,0.822084136847368
mnist_cnn_product_lowrank_m4_d100,mnist_openml_product,0.2,TOFU first-epoch replay fixed-rank,2,10001,3353.0,4,100,0.822084136847368
